,01.jpg,02.jpg,03.jpg,04.jpg,05.jpg,06.jpg,07.jpg,08.jpg,09.jpg,10.jpg,11.jpg,12.jpg,13.jpg,14.jpg,15.jpg
01.jpg,0,0.072,0.079,0.075,0.072,0.065,0.058,0.066,0.083,0,0,0,0,0,0
02.jpg,0.072,0,0.196,0.2,0.176,0.17,0.139,0.18,0.172,0,0,0,0,0,0
03.jpg,0.079,0.196,0,0.212,0.173,0.163,0.135,0.17,0.171,0,0,0,0,0,0
04.jpg,0.075,0.2,0.212,0,0.179,0.217,0.142,0.179,0.176,0,0,0,0,0,0
05.jpg,0.072,0.176,0.173,0.179,0,0.139,0.113,0.144,0.167,0,0,0,0,0,0
06.jpg,0.065,0.17,0.163,0.217,0.139,0,0.107,0.149,0.163,0,0,0,0,0,0
07.jpg,0.058,0.139,0.135,0.142,0.113,0.107,0,0.133,0.111,0,0,0,0,0,0
08.jpg,0.066,0.18,0.17,0.179,0.144,0.149,0.133,0,0.135,0,0,0,0,0,0
09.jpg,0.083,0.172,0.171,0.176,0.167,0.163,0.111,0.135,0,0,0,0,0,0,0
10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.45,0.45
13.jpg,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.45,0.45
14.jpg,0,0,0,0,0,0,0,0,0,0,0,0.45,0.45,0,1.0
15.jpg,0,0,0,0,0,0,0,0,0,0,0,0.45,0.45,1.0,0
